UNIQUEID	MODERATED	OVERALL_QUAL	EFFECTIVE_QUAL	REASON_QUAL	COGENCY_QUAL	CLEANEDCOMMENT	annotator1	annotator2	annotator3	annotator4	averageannot
607.0_Airline Passenger Rights	True	3.2676167	2.5662472	2.5328202	2.8903868	Are we talking about airlines not providing peanuts, or peanuts not being allowed on an airplane? These are two VERY different issues. I would be indifferent to rules preventing airlines from serving peanuts (actually, I would welcome it, because I like the crackers better!). People who want peanuts can bring their own, easily enough. Should people be banned from bringing their own peanuts? No. And honestly, people would be more effective using market forces to convince airlines to change their menus. I do have a cousin who legitimately goes into anaphylactic shock at exposure to peanuts. It's not a joking matter; I would guess we have fewer complications because people with peanut issues don't fly. But this is a minority, and I would not support a ban on peanuts existing on an airplane. but do we really need airlines to serve peanuts? This reaction isn't actually about peanuts at all.	2	3	4	3	3.0
279.0_Airline Passenger Rights	True	3.5994585	2.3819091	2.315432	2.6296759	"I have no problem requiring the airlines to give notification of any ""known"" delays within 30 minutes of when they become aware of it.BUT, being a frequent traveler, I see all sorts of problems which are unavoidable and for which the airlines will be blamed by giving such notice with the intend that some flyers may be able to delay thier trip to the airport or even the departure gate. I know that many times the airlines can't also know exactly when a weather hold or a maintenance issue will be rectified and that the flight is then ready to go. Many time it can be surprisingly faster than expected. The problem is that some flyers may then wait before going to the airport, but then find that the problem was rectified sooner than expected and the flight departed. Of course the flyer and the flyers rights organization will then crucify the airlines for such poor planning. Flyers need to grow up and quit pouting and blaming everthing on the airlines. They can't have it both ways."	2	5	4	0	2.75
224.0_Airline Passenger Rights	True	3.773082	2.2702184	2.1677294	2.5818384	"Compensation should be kept with a dollar amount basis, as the amount of the fare may not be suitable to cover expenses, such as food or lodging. Smaller aircraft do need compensation, however it should be based on what the alternative travel options are. Typically, a smaller connecting flight will be either close to home, or close to the destination, where the traveler may want to opt for a rental car or taxi instead. Zero-fare tickets may not need monetary compensation, as they did not pay out of pocket for the flight, but in addition to being re-booked, the miles or points redeemed should be credited back to the account. It would not be fair for people using zero-fare tickets to walk out with cash-in-hand. The biggest issue with overbooking is that people are not informed of their options. The full flight information is not disclosed when the ""next flight"" time is given. I would like to see a printed overbooking/bumping policy at the agent counter available, as well as the agents being up front with the customers when asking for volunteers, such as, ""We are overbooked by 7 passengers. We are looking for volunteers, etc..."" My recent experience with an overbooking, they were looking for volunteers, and I hesitated because I saw a few people already list their names. I did not know if they needed more. Also, they only announced that the next flight was just over an hour later. They did not mention the fact that the flight was not nonstop like the one we were listed on, but with a 5 hour layover."	5	4	3	1	3.25
963.0_Airline Passenger Rights	True	3.5551705	2.7789173	2.6282063	2.9117084	Several of the reasons cited for delays are air traffic control and late arriving aircraft. Air traffic in a couple key spots in this country is congested, in part, because airlines are flying more smaller planes rather than fewer larger planes - to carry the same amount of passengers. This takes up more landing slots. Why do they do this? 1) Planes are charged landing fees based on weight, and therefore it can be cheaper to land 2 smaller, lighter planes rather than one larger, heavier plane. 2) Airlines are worried that if they swap out 2 lighter planes for 1 heavier plane, then another airline will come in and take the landing slot and offer an extra flight of its own and siphon off passengers. Airlines worry that if they don't offer the most frequent flights, packed especially into the most desired times for business travelers, their competition will. This leads to an inefficient bunching of many flights on somewhat smaller planes at peak times, leading to congestion and delays. The government should change the basis on which landing fees are calculated as a start toward dis-incentivizing these practices. 1) The landing fees should not be based primarily on weight, but rather should be based on the fact that the plane is using a landing slot, with only some consideration given to the weight of the aircraft. That would encourage airlines to choose larger planes that can carry more people with less per-person environmental impact and fewer overall landing slots, reducing delays. 2) The landing fees should be somewhat greater at peak times of day to encourage airlines to spread out their flights more, thereby reducing congestion and delays.	5	5	4	5	4.75
538.0_Airline Passenger Rights	False	3.0938232	2.7104337	2.6189957	2.8940046	Two foods are the leading causes of fatal and near fatal food-allergic reactions: peanuts and tree nuts. Restricting peanuts on airlines - or better, peanuts and tree nuts - is not misguided; it is the only responsible course of action to take.	4	3	3	3	3.25
1008.0_Airline Passenger Rights	False	3.4118657	2.518783	2.4251568	2.7287257	While I have some concerns about what else people might want banned, I have no problem with a peanut ban. I think it would be easier on the airlines to either never have peanuts, or use something else when someone with an allergy is flying. A bubble around the person(s) puts too much responsibility on the flight crew that has other things to worry about. Since people could be switched to a flight at the last minute, and changing snacks already loaded could be a problem, I suspect this would just ban peanuts completely. While I agree that people with allergies should be ready to deal with problems, I do not consider telling people with severe problems to just not fly to be reasonable. Taking a boat to other continents is not a reasonable option, nor is keeping people from visiting them.	4	4	4	3	3.75
802.0_Airline Passenger Rights	False	2.8130693	2.772671	2.673884	2.990595	Thank you for your common sense, reason and logic. I certainly won't ante up my peanut allergic child as sacrificial proof that banning peanuts on flights is a simpler solution than emergency landings and potential funerals. Occam's razor - the simplest solution is usually the correct or most effective one. Again, my sincerest thanks for your well made comments.	1	1	2	0	1.0
535.0_Airline Passenger Rights	False	3.7069273	2.8687212	2.7859313	3.0518146	"There is no indication that Mulder is qualified to make reliable claims on the subject of allergies. He is not an expert in this context. And the fact that an unqualified person makes a claim does not provide any rational reason to accept the claim as true. There is adequate agreement among real allergy experts that ""the most practical solution to reduce the risk of an allergic reaction to peanuts would be to simply discontinue serving packaged peanut snacks on all flights covered by the DOT."" See the statement of the Medical Advisory Board of the Food Allergy & Anaphylaxis Network at http://www.foodallergy.org/page/dot-proposal."	5	5	5	4	4.75
62.0_Airline Passenger Rights	False	3.6501603	1.588025	1.4764153	1.9291198	(1) Advertised prices should reflicct the ENTIRE price that must be paid. (2) Optional services should be opt-in (3) Post-purchase increases should be permitted only if the purchaser is permitted to cance/change plans without penalty.	1	3	2	1	1.75
601.0_Airline Passenger Rights	False	3.4388015	2.8529503	2.7578714	2.9867094	I don't think there is anything wrong with banning airlines from serving bagged peanuts. It's an unnecessary risk and you'd think they would have caught onto that already. Banning passengers from bring their own peanut containing products (i.e. snickers or things with peanut oil) is probably too far, although peanut allergy people should be given the ability to not sit near that person. It seems like a fair compromise.	2	3	3	1	2.25
561.0_Airline Passenger Rights	False	2.7254522	2.6725287	2.571746	2.848093	I think it is incredibly rude that you will inconvenience an entire plane load of people to avoid mild discomfort. Take benadryl before you fly, or don't fly. Your watery eyes and itchy throat are not my problem.	0	0	1	0	0.25
904.0_Airline Passenger Rights	False	3.4589708	2.744002	2.6499298	2.9125323	I support all proposed regulations. Price changed after purchase should not be allowed Air travel is often in conjunction with other other commitments such as tours or cruises with can not be canceled on short notice without penalty.	1	4	1	2	2.0
736.0_Airline Passenger Rights	False	3.050793	3.0613737	2.9731667	3.2004497	"You have no idea what you're talking about either. Celiac disease is not an ""allergy"" and someone sitting in the next seat eating pretzels poses no risk to a celiac. Even if a celiac ingests trace gluten, the reaction is uncomfortable, not life-threatening. On the off-chance there is turbulence and somebody's pretzel lands in my drink, I'm sure the airline would replace it."	1	1	2	1	1.25
1092.0_Airline Passenger Rights	False	2.3769183	2.4027867	2.3315663	2.6083302	"A telephone survey? How many of these children were actually tested to discover if they really did have an allergy vice how many are ""assumed"" to be allergic from parental observation?"	1	3	4	0	2.0
1118.0_Airline Passenger Rights	False	2.7419503	2.9498746	2.8296013	3.0391548	I agree that 3 hours is way too long to be stranded on the tarmac for health, comfort, and emotional reasons. I am a bit confused as to why people are not kept at the boarding area longer. I find it hard to believe that it is always a last minute surprise that comes after everyone is boarded on the plane. I think there should be a time limit on internatioanl flights as well.	2	2	3	2	2.25
874.0_Airline Passenger Rights	False	3.7614615	3.0576978	2.930218	3.1806428	1) Unless you can purchase the one way fare and ultimately find seating, I think any offer requiring round trip should be disclosed as such. This goes for hotel and/or air and packages. 2) No increase of prices after the purchase unless the customer agrees prior to the transaction without any additional inducement. 3) These changes would benefit the customers and place no additional burden on the sellers. All the gotchas in small print in the advertising costs more then the changes needed to make the site cleaner, leaner and fairer.	2	3	3	3	2.75
918.0_Airline Passenger Rights	False	3.3954272	3.0299885	2.8749366	3.1415071	"I don't have a problem with baggage fees, except there should be a reasonable ""baggage exception"" (i.e. 1 bag per traveler) before fees are imposed"	1	2	3	1	1.75
1090.0_Airline Passenger Rights	False	2.8325524	2.7070463	2.6012099	2.9226484	You are partly right. I would be upset if we had to make an emergency landing because someone did not take the proper precautions when they have a serious allergy and thus caused a hundred plus other people to have a major delay.	2	1	3	1	1.75
111.0_Electronic On-Board Recorders	False	3.6647408	2.961449	2.8533492	3.1053946	"The Qualcomm MCP device is only one measuring stick for unit price. There are other devices on the market, such as XATA Turnpike, which only has a monthly service fee of $35/truck/month with no equipment costs (the equipment for the Route Tracker is built into the monthly service fee). This particular solution requires a cell phone and a data plan which many drivers and fleets already have. It is likely that EOBR vendors will produce a ""˜log only' version, however this can miss out on many of the ROI factors that a fleet management solution can bring (increased fuel efficiency, navigation, trip reporting, black box reporting for accident reconstruction, driver scorecards and better adherence to the spotlight that CSA brings to the forefront)."	3	4	4	4	3.75
404.0_Airline Passenger Rights	False	3.608423	2.3914084	2.2757087	2.6107807	"The problem has increased over the years with the advent of more efficient turbofan engines. It was found that excessive bleed air extraction from the engines (fresh air) consumes more fuel than recirculating the air. Unlike the ""coal burners"" of the past, modern jets recirculate much more of the air. Yes, they go through filters but it is quite noticeable when those filters need to be changed, airflow decreases dramatically. With airlines scrambling to make money, non safety related items take a back seat and those expensive filters, I believe, are not changed as often. Also, your point about the number of people that died aboard a flight is only part of the question. One should ask how many people reached a critical stage during flight with anaphlaxis necessitating the use of epinephrine from the on board medical kit administered by a physician or nurse on a flight? In other words, how many times was it necessary to intervene or risk the death of a passenger? Airport Crash Fire and Rescue facilities would be a valuable asset for those statistics as they are the ones to meet a flight if a passenger was ill."	5	4	4	5	4.5
144.0_Airline Passenger Rights	False	3.9103675	2.955275	2.8009946	3.0985227	Prior to the implementation of passenger facility fees in the 1990s, domestic prices did include all taxes, although occasionally certain certain city surcharges were not included. The industry did just fine. I have no problem with a carrier charging a given fare but they should be honest about what the total cost of the ticket is to the passenger rather than stating a price and putting $30-$50 into the mix at time of purchase. If federal excise taxes can be included, there is no reason why other taxes, fees, and surcharges cannot be part of an advertised price. I wholeheartedly support this proposal. Ideally this would cover international as well as domestic travel as taxes, fees, and surcharges on international tickets frequently add hundreds of dollars to a price quote.	4	4	5	5	4.5
316.0_Airline Passenger Rights	False	3.0048344	2.1927023	2.1494393	2.6168416	"Previous experience with getting bumped off a flight (I was using miles) and the airline refused to put me on another carrier's flight - instead I had a flight that was six hours later with absolutely no compensation. Basically the customer servie rep's attitude was ""It's not my problem and you're using miles so we owe you nothing."""	1	2	3	0	1.5
64.0_Electronic On-Board Recorders	False	3.2437122	1.8470953	1.6397551	1.2982013	I'm wondering about how this rule will affect commercial motor vehicle drivers who only drive short distances. I notice that the agency is thinking about covering them. If they do get covered, will the agency help them through the process? I'm thinking of training seminars, etc. I think training would be very helpful to those drivers who aren't already familiar with this type of equipment. I see training being an issue for the other sub-categories DOT is considering covering with the rule as well (hazmat, passenger carriers).	2	4	4	2	3.0
255.0_Electronic On-Board Recorders	False	3.3452127	3.0187788	2.8847823	3.1305535	Not only have there been problems in Europe, but in Canada with the speed limiters there have been instances where the ECM was damaged when an office plugged into the device. There are several court cases in Canada over this very matter. So, how do we know that an officer has the proper training or equipment to plug into our devices without causing damage to our devices or ECM? EOBRs are nothing more than another control mechanism that the governments wants to put on the population. What about our 4th Amendment Rights under the Constitution relative to Unreasonable Search and Seizure? The Federal Judge in MN recently ruled that MN's Fatigue Profiling was unconstitutional based upon the 4th Amendment. Furthermore, these burdensome and invasive regulations are contrary to Obama's call for less burdensome and costly rules and regulations. EOBRs have nothing to do with safety - period end of story!!!	3	3	5	4	3.75
286.0_Electronic On-Board Recorders	False	2.7974064	2.809567	2.7702928	3.0005214	"Listen Fellas...and Ladies...these new rules are part of a bigger picture...This is another area where the government needs to ""close down an open, and free society""...These ""black boxes"" are already in most cars, especially new ones...surveilance cameras are everywhere...We are being tracked by our cell phones...Tracking the trucks that move around the country serves just ONE purpose...tracking citizens...Look at where this country is heading and you will understand the reasoning behind these ""rule changes""...Sen. Graham, and Sen. Schumer met with the President a few days ago to clean up the details on how to enact a US Worker ID badge...They are moving to destroy the American idea of a free society and embedd every aspect of your life with some kind of monoriting device...Do your research, read about what's really going on...and then this will all make sense...I am a former Marine...25 yr veteran of the trucking industry, and owner operator...never had an accident, and no moving violations in the last 15 plus years...These EOBR's are not about safety...They're about tracking citizens...PERIOD."	0	0	5	0	1.25
1251.0_Airline Passenger Rights	False	2.5944154	3.0150445	2.8945823	3.1566806	"And that's the REAL problem. ""...let's go here for all allergies."" I've said it before and statements like that just reinforce what I have been saying. Once you ban one thing you will be required to ban a LOT more things going forward. I don't think the DOT is prepared to ban all perfumes, deodorants, service animals, people who smell of smoke, people who use certain shampoo, and on and on and on."	1	2	5	0	2.0
153.0_Electronic On-Board Recorders	False	2.6667297	3.0272095	2.9431581	3.2108514	Why can any body just get in there car, mini van, suv etc with there whole family on board drive cross country non stop.. But a professional driver has to have an EOBR to make sure they are in compliance? I have been on the road all of my 37 years and have seen every scenario.. EOBRS are not the answer.. educating the public is!! Leave the HOS as they are if any changes are made simply Eliminate the 14 hour rule. Give truckers the opportunity to stop and stop the clock as they need to..	2	3	5	1	2.75
772.0_Airline Passenger Rights	False	3.5848005	2.8853297	2.7967188	3.0108335	I suffer from a tree nut allergy, with sensitivity to peanuts. Like anyone who has an anaphylactic allergy, I always carry my epi-pen and benedryl everywhere I go. I always get nervous when flying at the thought of going into anaphylactic shock mid-air, and believe that something needs to be done to protect people with true food allergies. I think to start, serving peanuts should be banned. The degree of the allergy varies from person to person, but banning the actual product would help a lot of people right away. Food that might be shared on the same equipment or may contain nuts should still be allowed to respect the other side's rights. I also think there should be peanut free seating on planes that are priority to people with allergies. That would eliminate the chance of my neighbor eating nuts. It's a tough subject to debate. Maybe airlines should ask when purchasing a ticket as to whether or not they are traveling with someone who has an allergy. Based on answers, they can then plan for seating accordingly. Some baseball stadiums have peanut free sections, and airplanes should too!	4	5	5	4	4.5
613.0_Airline Passenger Rights	False	3.3325274	2.7058318	2.5930312	2.9156454	"What many people who are supporting a ban are forgetting (or omitting) is if someone has such a severe peanut allergy that a reaction occurs when breathing or touching something else that has been contaminated (ie cross-contamination), then *all* aircrafts that have ever had peanuts aboard are contaminated. Banning future peanuts doesn't change that cross-contamination is already in place and it's already a life-threatening environment. What is the solution... replace all aircrafts? Not feasible. I, too, suffer from a life-threatening food allergy; but I do not expect the world to change for me. I adjust to the world; if I think there's a chance that I will be exposed to my food ""poison,"" I don't go there. It's inconvenient and sometimes a hardship for me, but I'm the one with the allergy. Unfortunately, there are no guarantees in this world. Even if peanuts are banned, what is to prevent one passenger from having a bag on his/her person and coming aboard? Will that person be criminally charged if someone has a reaction? Will they be sued? Probably. The problem is that banning peanuts alone won't make life on a plane safer; it'll only be as safe as fellow passengers or airline staff taking precautions for the risk and, frankly, those who don't have or know anyone who has life-threatening allergies have no idea how easily cross-contamination can occur. As someone with such an allergy, there's no way I would place my trust for my life on strangers to take precautions for my allergy. Banning isn't a real solution; finding a cure is."	2	3	5	4	3.5
266.0_Electronic On-Board Recorders	False	2.5344536	2.8594196	2.7728329	3.0402012	Ok here I sit tonight in reed point Montana. i am only driving part time, as i have a mining job that i am employed at full time awaiting these redicoulous rules.. If they are passed I will never drive a truck again but i love trucking so i am doing it part time.. Ok i just took a trip to red deere alberta canada.. I am sampeling AN e-log, as i said i am sitting on an exit ramp in Reed Point Montana, 16 miles from my home and I have to sit here for 10 hours before I can legally drive the 16 miles home.. I could legally unhook from my trailer and drive home, Personell conveyance.. but not with an electronic recorder.. so ill sit here on this exit ramp for 10 hours and then drive the 16 miles to my home.. makes alot of sence..	0	1	3	0	1.0
329.0_Electronic On-Board Recorders	False	1.7622368	2.7056806	2.607769	2.8735592	Over the Road Trucker are payed by the mile not hr and O/O pill have to pay for this out of pocket it just a lost to us and no i have seen ppl playing with these things when driving have talked to ppl that showed me that you can lie to them and they can show you moveing when you are not these things are a way for the OTR Trucker to go under	0	1	0	0	0.25
407.0_Airline Passenger Rights	False	3.65518	3.0224729	2.9136496	3.1473954	The ground delay limitation, has, well, it's limitations. If we were in pre-regulation days where an airline was making money with only 60% of the seats filled, flights canceling due to the 3 hour limit would not be much of a problem. What is a problem is flights that are now being canceled because of the new rule and virtually no seats available on subsequent flights to accommodate those passengers. If the ground delays are due to ATC, weather, VIP movement (president in the area) then passengers will not be, as a rule, given cancellation perks since they are beyond the control of the company. If the air conditioning, and restrooms are functioning properly and there are plenty of beverages and snacks on board then that maximum number of hours should be flexible. I would be curious to hear from people that had their flight cancel due to the 3 hour limit and how the airlines handled them after that. My guess this rule will cause greater damage to air travel then the occasional extended ground hold on an airplane with poor air conditioning or non-functioning lavatories. Here is my question...if the airplane is comfortable and exceeding the 3 hour limit would cancel the flight with no hotel or meal compensation, would exceeding the 3 hours be ok and if so what would be a reasonable number above 3 be?	4	3	3	3	3.25
1197.0_Airline Passenger Rights	True	3.5853806	2.861727	2.7469683	3.0029528	I strongly support any provision that would provide air travelers with additional timely information regarding flight delays. In many cases a traveler may need to make other plans to reach his or her destination, and the lack of information regarding flight delays may limit his or her ability to do so.	3	4	4	3	3.5
1175.0_Airline Passenger Rights	True	3.5967996	2.8174622	2.7448587	2.9930294	My previous submission has disappeared. I suggested that bumping be limited to reimbursable tickets only and only after passengers have been given time to cancel with penalty.	2	3	3	2	2.5
516.0_Airline Passenger Rights	True	2.8743145	2.9924645	2.9105864	3.143451	Other than death by choking, it IS NOT a fact that peanuts kill people. It is a fact that they provide a very nutritious snack that children will actually eat. If your paranoid imaginings are too sever for you to allow the rest of the traveling public to enjoy a snack in peace, STAY HOME!	0	0	1	0	0.25
311.0_Airline Passenger Rights	True	3.2269096	2.5612593	2.4712405	2.752754	The rules definitely need to be spelled out as specifically as possible and should apply to all airlines - I don't trust the airlines to develop and enforce their own policy.	1	2	2	1	1.5
1173.0_Airline Passenger Rights	True	3.251929	2.414917	2.291373	2.655743	Airline fares should be similar to way cruise lines price their cabins, with different fares for different seats and services. There should be no hidden fees to be added later. Thus, aisle seats could have one set of fares which themselves could differe according to what else is included, such as a second bag, food, right to use the bathroom more than once, an extra pillow, and so on. However, all fares should include one free carryon and one free checked bag.	2	3	3	2	2.5
132.0_Electronic On-Board Recorders	True	2.374201	2.4248054	2.353784	2.774869	yeah, don't really see how we'd have *fewer* documents. and, how's this a *big* advantage compared to how much it'll cost?	0	1	2	0	0.75
1282.0_Airline Passenger Rights	True	2.1757536	2.680134	2.5636811	2.8857865	I think you guys need to make this more clear, as I am looking over this I cannot really figure out what it is you want us to comment about..	1	0	1	0	0.5
77.0_Airline Passenger Rights	True	3.1125305	2.8159437	2.7373648	2.9758074	While a peanut allergy is a huge issue, what about other allergies? 10% of the population is allergic to perfumes yet this is not mentioned here. Airlines are filled with perfumes and international flights sell it duty free. Personal air purifiers are not allowed so it leaves 10% of the population unable to fly or risk anaphylaxis on every flight.	2	3	4	3	3.0
97.0_Airline Passenger Rights	True	3.4948697	2.3202279	2.234504	2.5933404	First, I congratulate and thank Secretary LaHood and DOT for their efforts in improving customer protections for travelers. The cut-off should be for all types of planes, not just large ones. Airports AND carriers should work together to develop tarmac contingency plans. Personally, I think 3 hours is too long to be held captive in a immobile plane. Two hours is much more reasonable.	3	3	4	2	3.0
